"DATE","GEOGRAPHY_CODE","VARIABLE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_CONF"
"2010-12","E08000021","Economic activity rate - aged 16-64","Variable",70.6,"A","F"
"2010-12","E08000021","Economic activity rate - aged 16-64","Numerator",133100,"A","F"
"2010-12","E08000021","Economic activity rate - aged 16-64","Denominator",188600,"A","F"
"2010-12","E08000021","Economic activity rate - aged 16-64","Confidence",2.8,"A","F"
"2010-12","E08000021","Employment rate - aged 16-64","Variable",63.5,"A","F"
"2010-12","E08000021","Employment rate - aged 16-64","Numerator",119800,"A","F"
"2010-12","E08000021","Employment rate - aged 16-64","Denominator",188600,"A","F"
"2010-12","E08000021","Employment rate - aged 16-64","Confidence",2.9,"A","F"
"2010-12","E08000021","% aged 16-64 who are employees","Variable",55.9,"A","F"
"2010-12","E08000021","% aged 16-64 who are employees","Numerator",105400,"A","F"
"2010-12","E08000021","% aged 16-64 who are employees","Denominator",188600,"A","F"
"2010-12","E08000021","% aged 16-64 who are employees","Confidence",3.0,"A","F"
"2010-12","E08000021","% aged 16-64 who are self employed","Variable",7.2,"A","F"
"2010-12","E08000021","% aged 16-64 who are self employed","Numerator",13500,"A","F"
"2010-12","E08000021","% aged 16-64 who are self employed","Denominator",188600,"A","F"
"2010-12","E08000021","% aged 16-64 who are self employed","Confidence",1.6,"A","F"
"2010-12","E08000021","Unemployment rate - aged 16-64 ","Variable",9.9,"A","F"
"2010-12","E08000021","Unemployment rate - aged 16-64 ","Numerator",13200,"A","F"
"2010-12","E08000021","Unemployment rate - aged 16-64 ","Denominator",133100,"A","F"
"2010-12","E08000021","Unemployment rate - aged 16-64 ","Confidence",2.2,"A","F"
"2010-12","E08000021","Unemployment rate - aged 16+","Variable",9.7,"A","F"
"2010-12","E08000021","Unemployment rate - aged 16+","Numerator",13200,"A","F"
"2010-12","E08000021","Unemployment rate - aged 16+","Denominator",136200,"A","F"
"2010-12","E08000021","Unemployment rate - aged 16+","Confidence",2.1,"A","F"
"2010-12","E08000021","% who are economically inactive - aged 16-64","Variable",29.4,"A","F"
"2010-12","E08000021","% who are economically inactive - aged 16-64","Numerator",55500,"A","F"
"2010-12","E08000021","% who are economically inactive - aged 16-64","Denominator",188600,"A","F"
"2010-12","E08000021","% who are economically inactive - aged 16-64","Confidence",2.8,"A","F"
"2010-12","E08000021","% of economically inactive who want a job","Variable",24.4,"A","F"
"2010-12","E08000021","% of economically inactive who want a job","Numerator",13600,"A","F"
"2010-12","E08000021","% of economically inactive who want a job","Denominator",55500,"A","F"
"2010-12","E08000021","% of economically inactive who want a job","Confidence",4.7,"A","F"
"2010-12","E08000021","% of economically inactive who do not want a job","Variable",75.6,"A","F"
"2010-12","E08000021","% of economically inactive who do not want a job","Numerator",42000,"A","F"
"2010-12","E08000021","% of economically inactive who do not want a job","Denominator",55500,"A","F"
"2010-12","E08000021","% of economically inactive who do not want a job","Confidence",4.7,"A","F"
"2010-12","E08000021","% all in employment who are - 1: managers, directors and senior officials (SOC2020)","Variable",,"Q","F"
"2010-12","E08000021","% all in employment who are - 1: managers, directors and senior officials (SOC2020)","Numerator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 1: managers, directors and senior officials (SOC2020)","Denominator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 1: managers, directors and senior officials (SOC2020)","Confidence",,"Q","F"
"2010-12","E08000021","% all in employment who are - 2: professional occupations (SOC2020)","Variable",,"Q","F"
"2010-12","E08000021","% all in employment who are - 2: professional occupations (SOC2020)","Numerator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 2: professional occupations (SOC2020)","Denominator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 2: professional occupations (SOC2020)","Confidence",,"Q","F"
"2010-12","E08000021","% all in employment who are - 3: associate professional occupations (SOC2020)","Variable",,"Q","F"
"2010-12","E08000021","% all in employment who are - 3: associate professional occupations (SOC2020)","Numerator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 3: associate professional occupations (SOC2020)","Denominator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 3: associate professional occupations (SOC2020)","Confidence",,"Q","F"
"2010-12","E08000021","% all in employment who are - 4: administrative and secretarial occupations (SOC2020)","Variable",,"Q","F"
"2010-12","E08000021","% all in employment who are - 4: administrative and secretarial occupations (SOC2020)","Numerator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 4: administrative and secretarial occupations (SOC2020)","Denominator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 4: administrative and secretarial occupations (SOC2020)","Confidence",,"Q","F"
"2010-12","E08000021","% all in employment who are - 5: skilled trades occupations (SOC2020)","Variable",,"Q","F"
"2010-12","E08000021","% all in employment who are - 5: skilled trades occupations (SOC2020)","Numerator",,"Q","F"
"2010-12","E08000021","% all in employment who are - 5: skilled trades occupations (SOC2020)","Denominator",,"Q","F"
