"DATE","GEOGRAPHY_CODE","SEX_NAME","PAY_NAME","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_CONF"
"2010","E08000021","Male Full Time Workers","Annual pay - gross","Number of jobs","Value",37000,"A","F"
"2010","E08000021","Male Full Time Workers","Annual pay - gross","Number of jobs","Confidence",9.9,"A","F"
"2010","E08000021","Male Full Time Workers","Annual pay - gross","Median","Value",24719,"A","F"
"2010","E08000021","Male Full Time Workers","Annual pay - gross","Median","Confidence",10.0,"A","F"
"2010","E08000021","Male Full Time Workers","Annual pay - gross","Annual percentage change - median","Value",2.3,"A","F"
"2010","E08000021","Male Full Time Workers","Annual pay - gross","Annual percentage change - median","Confidence",,"Q","F"
"2010","E08000021","Male Full Time Workers","Hours worked - total","Number of jobs","Value",41000,"A","F"
"2010","E08000021","Male Full Time Workers","Hours worked - total","Number of jobs","Confidence",6.4,"A","F"
"2010","E08000021","Male Full Time Workers","Hours worked - total","Median","Value",37.6,"A","F"
"2010","E08000021","Male Full Time Workers","Hours worked - total","Median","Confidence",1.0,"A","F"
"2010","E08000021","Male Full Time Workers","Hours worked - total","Annual percentage change - median","Value",-0.1,"A","F"
"2010","E08000021","Male Full Time Workers","Hours worked - total","Annual percentage change - median","Confidence",,"Q","F"
"2010","E08000021","Male Part Time Workers","Annual pay - gross","Number of jobs","Value",7000,"A","F"
"2010","E08000021","Male Part Time Workers","Annual pay - gross","Number of jobs","Confidence",16.8,"A","F"
"2010","E08000021","Male Part Time Workers","Annual pay - gross","Median","Value",,"B","F"
"2010","E08000021","Male Part Time Workers","Annual pay - gross","Median","Confidence",,"B","F"
"2010","E08000021","Male Part Time Workers","Annual pay - gross","Annual percentage change - median","Value",,"Q","F"
"2010","E08000021","Male Part Time Workers","Annual pay - gross","Annual percentage change - median","Confidence",,"Q","F"
"2010","E08000021","Male Part Time Workers","Hours worked - total","Number of jobs","Value",8000,"A","F"
"2010","E08000021","Male Part Time Workers","Hours worked - total","Number of jobs","Confidence",13.6,"A","F"
"2010","E08000021","Male Part Time Workers","Hours worked - total","Median","Value",20.8,"A","F"
"2010","E08000021","Male Part Time Workers","Hours worked - total","Median","Confidence",13.0,"A","F"
"2010","E08000021","Male Part Time Workers","Hours worked - total","Annual percentage change - median","Value",4.0,"A","F"
"2010","E08000021","Male Part Time Workers","Hours worked - total","Annual percentage change - median","Confidence",,"Q","F"
"2010","E08000021","Female Full Time Workers","Annual pay - gross","Number of jobs","Value",23000,"A","F"
"2010","E08000021","Female Full Time Workers","Annual pay - gross","Number of jobs","Confidence",12.8,"A","F"
