Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",National Youth Music Organisation,2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments
1927,NPO,,217000,220993,220993,Theatre,South East,South East,South Thanet,Thanet,Non-LUCP,Non-Priority place,
20 Stories High,NPO,,211905,215804,215804,Theatre,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
20Twenty Productions CIC,NPO,,0,0,199600,Not discipline specific,South East,East of England,North East Cambridgeshire,Fenland,LUCP,Priority place,
2Funky Arts,NPO,,0,0,250000,Music,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
A New Direction London Limited,NPO,,1506375,1534092,1182556,Not discipline specific,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
A Space Arts,NPO,,100000,101840,101840,Visual arts,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,
AA2A Limited,IPSO,,40000,40736,50000,Visual arts,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Abandon Normal Devices,NPO,,135000,137484,137484,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Absolutely Cultured Limited,NPO,,0,0,200000,Combined arts,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,
ACA Publishing/Sinoist Books,NPO,,0,0,50000,Literature,South East,South East,Horsham,Horsham,Non-LUCP,Non-Priority place,
Academy of Circus Arts and Physical Theatre t/a Circomedia,NPO,,106552,108513,108513,Theatre,South West,South West,Kingswood,South Gloucestershire,Non-LUCP,Non-Priority place,
ACAVA,NPO,,0,0,80000,Visual arts,London,London,Kensington,Kensington and Chelsea,Non-LUCP,Non-Priority place,
Access All Areas,NPO,,125000,127300,254600,Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
ACE Dance and music,NPO,,397996,405319,655319,Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
acta community theatre ltd,NPO,,80000,81472,81472,Combined arts,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,
Action Space London Events,NPO,,88416,90043,178139,Visual arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Theatre Porto,NPO,,120696,122917,177917,Theatre,North,North West,Ellesmere Port and Neston,Cheshire West and Chester,Non-LUCP,Non-Priority place,
