"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"215410","0","THE NEWCOMEN SOCIETY FOR THE STUDY OF THE HISTORY OF ENGINEERING AND TECHNOLOGY","1, Minster Court, Tuscam Way, Camberley, Surrey","","","07483 157952","office@newcomen.com","www.newcomen.com","30/06/2023","82973","63320","Registered","Charitable company","Provides Services, Sponsors Or Undertakes Research","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","The General Public/mankind","Disseminating historical information to members of the Society and the general public, by way of meetings, discussion, correspondence, papers and visits to objects and places of interest& fostering historical investigation and research & encouraging the collection and preservation of examples& arranging for the presentation of original papers and publishing them","TO PROMOTE ENCOURAGE AND CO-ORDINATE THE STUDY OF THE HISTORY OF ENGINEERING, INDUSTRY AND TECHNOLOGY."
"218620","0","THE JOHN SUMNER TRUST (OTHERWISE KNOWN AS SIR JOHN SUMNER'S TRUST)","Secretary to the Trustees, Sir John Sumners Trust, The Estate Office, Lanton, Milfield","Wooler","","01668 216218","estateoffice@lantonestate.com","","25/02/2023","43741","79824","Registered","Other","Makes Grants To Organisations, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Arts/culture/heritage/science, Amateur Sport, Animals, Environment/conservation/heritage, Economic/community Development/employment, Armed Forces/emergency Service Efficiency, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","The object of the Charity is especially for works and objects of health,philanthropy,public utility,education,literature,art,archeology and research(other than experiments involving animal suffering),animal welfare,armed forces charities","SEE CLAUSE 4 OF SCHEME DATED 18TH FEBRUARY 1998"
"220208","0","THE NORTH OF ENGLAND INSTITUTE OF MINING AND MECHANICAL ENGINEERS","NEIMME, NEVILLE HALL, WESTGATE ROAD, NEWCASTLE UPON TYNE","NE1 1SE","Newcastle upon Tyne Central","07802 886771","office@mininginstitute.org.uk","www.mininginstitute.org.uk","30/06/2023","12246","14324","Registered","Other","Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","Education/training, The Advancement Of Health Or Saving Of Lives, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups, The General Public/mankind","To advance & promote the science, education & technology of Mining Engineering & engineering generally. To secure the increased safety & improved health and well being of those employed. To collect, acquire & disseminate, scientific knowledge & technical information. To advance & promote the science & technology of addressing the environmental & socio-economic legacies of former mining activities.","SEE ROYAL CHARTER AND BYE-LAWS. TO ADVANCE AND PROMOTE THE SCIENCE AND TECHNOLOGY OF MINING ENGINEERING."
"220256","0","PEOPLE'S THEATRE ARTS GROUP LIMITED","PEOPLE'S THEATRE, STEPHENSON ROAD, HEATON, NEWCASTLE UPON TYNE","NE6 5QF","Newcastle upon Tyne East","0191 275 9875","venuemanager@peoplestheatre.co.uk","www.peoplestheatre.co.uk","31/07/2023","313740","266735","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services","Arts/culture/heritage/science","The General Public/mankind","Activities pertaining to the operation of an Arts Group","TO PROMOTE, MAINTAIN AND ADVANCE EDUCATION BY THE ENCOURAGEMENT OF THE ARTS, INCLUDING THE ARTS OF DRAMA, MIME, DANCE, SINGING AND MUSIC."
"228414","0","WOMEN'S INSTITUTE - HORSLEY","BERMAR, HORSLEY, NEWCASTLE UPON TYNE","NE15 0NS","Hexham","01661853813","PAMMCA@BTINTERNET.COM","www.thewi.org.uk","31/08/2023","0","0","Registered","Other","Makes Grants To Individuals, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Animals, Environment/conservation/heritage, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","Monthly meetings with speakers, monthly committee meetings, fund raising events, outings","TO IMPROVE AND DEVELOP CONDITIONS OF RURAL LIFE IN ACCORDANCE WITH THE CONSTITUTION AND RULES OF THE WOMEN'S INSTITUTE."
"228634","0","THE MULTIPLE SCLEROSIS RESEARCH AND RELIEF FUND","M S Research & Relief Fund, Benmar House, Choppington Road, MORPETH","NE61 2HX","Wansbeck","01670505829","info@ms-researchandrelief.org","www.ms-researchandrelief.org","31/03/2023","1005145","585288","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","The Advancement Of Health Or Saving Of Lives, Disability, Arts/culture/heritage/science, Amateur Sport","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","MS Research and Relief Fund supports MS groups in Morpeth, Jarrow, Durham, Berwick and Newcastle. We provide complementary therapies which are free of charge to people with MS and their primary carers, in addition we have accessible exercise classes, Tai Chi and a ""fitness lounge"" where people can use toning tables, MotoMed exercise machines and a vibrogym.","THE OBJECTS FOR WHICH THE COMPANY IS FOUNDED ARE:-(A) THE RELIEF FO PERSONS SUFFERING FROM MULTIPLE SCLEROSIS BY THE PROVISION OF GRANTS, MEDICAL EQUIPMENT AND AIDS, ADVICE AND COUNSELLING IN RESPECT OF THE RELIEF OF THEIR CONDITION;(B) THE PROMOTION OF RESEARCH INTO THE CAUSES AND RELIEF OF MULTIPLE SCLEROSIS BY THE MAKING OF GRANTS TO SUCH OTHER CHARITABLE INSTITUTIONS AS ARE ENGAGED IN SUCH RESEARCH;(C) THE PURSUIT OF ANY CHARITABLE PURPOSE IN CONNECTION WITH THE RELIEF OF PERSONS SUFFERING FROM MULTIPLE SCLEROSIS AND THEIR CARERS"
"228952","0","NEWCASTLE PEOPLE'S THEATRE ARTS TRUST LIMITED","13 ARMSTRONG AVENUE, NEWCASTLE UPON TYNE","NE6 5RD","Newcastle upon Tyne East","01912401691","tony.childs@blueyonder.co.uk","www.peoples-theatre.co.uk","31/07/2023","0","180","Registered","Charitable company","Provides Buildings/facilities/open Space","Arts/culture/heritage/science","The General Public/mankind","Arts Trust activities","TO PROMOTE AND ENCOURAGE DRAMATIC ART."
"233569","0","ROBERT STEWART MEMORIAL UNITED REFORMED CHURCH","41 Mandarin Close, Westerhope, Newcastle upon Tyne, Tyne and Wear","NE5 1YP","Newcastle upon Tyne North","01912672594","stephennelson.family@gmail.com","","31/12/2023","55062","56054","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Religious Activities, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Religious/Christian Church. 
Uniformed organisations, beavers, cubs, scouts, Inspire Youth, SEARCH activities, Congolese worship group, Romanian worship group, bowling club, WI, Sewing group (WEA), Band practise and other groups.","INCOME TO BE APPLIED FOR FIVE YEARS FROM THE DATED OF THE DEED IN OR TOWARDS THE RECONSTRUCTION OR ALTERATION OR UPGRADING OF THE STEWART HALL INCLUDING THE FURNISHING AND EQUIPMENT THEROF IN SUCH MANNER AS WILL IMPROVE THE SUITABLILITY OF THE HALL FOR USE AS A HALL. AFTER FIVE YEARS, CAPTIAL TO BE APPLIED IN OR TOWEARDS IMPROVING OR RENOVATING THE FABRIC OR THE BUILDINGS OF THE CHURCH AND THE FURNISHINGS AND EQUIPMENT THEROF OR OTHERWISE FOR THE GENERAL PURPOSES OF THE CHURCH."
"247885","0","NORTHUMBERLAND AND NEWCASTLE SOCIETY","JESMOND METHODIST CHURCH, ST. GEORGES TERRACE, JESMOND, NEWCASTLE UPON TYNE","NE2 2DL","Newcastle upon Tyne East","01912816266","info@nandnsociety.org.uk","www.nandnsociety.org.uk","31/12/2022","12550","45818","Registered","Other","Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","The General Public/mankind","Reviewing local planning proposals and submitting views. Attending  consultation meetings and public hearings where appropriate.Presenting slide shows to interested parties.Arranging visits to places of historical and/or environmental interest.Publishing a quarterly journal ""City and County""Campaigning as deemed necessary to protect landscape and heritage","PROMOTION OF A WIDER CONCERN FOR THE BEAUTY, HISTORICAL INTEREST, AMENITY, HEALTHFULNESS AND DEVELOPMENT OF THE COUNTY OF NORTHUMBERLAND AND THE METROPOLITAN DISTRICTS OF NEWCASTLE UPON TYNE AND NORTH TYNESIDE IN THE COUNTY OF TYNE AND WEAR"
"253761","0","HEXHAM AND DISTRICT MUSIC SOCIETY","Southwood Cottage, RIDING MILL, Northumberland","NE44 6AD","Hexham","01434602198","secretary@hexhammusic.net","www.hexhammusic.net","30/04/2023","17626","16679","Registered","Other","Other Charitable Activities","Arts/culture/heritage/science","The General Public/mankind","Promotes concerts and workshops","TO FOSTER THE PUBLIC KNOWLEDGE AND APPRECIATION OF MUSIC BY MEANS OF THE PROMOTION OF HIGH CLASS PUBLIC CONCERTS AND THE ENCOURAGEMENT OF OTHER MUSICAL ACTIVITIES."
