organisation,registered_name,company_number,uri,post_town,postcode,company_category,company_status,sic_code,incorporation_date,dissolution_date
Action for Children,ACTION FOR CHILDREN,04764232,http://business.data.gov.uk/id/company/04764232,WATFORD,WD18 8AG,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['87900 - Other residential care activities n.e.c.'
 '88990 - Other social work activities without accommodation n.e.c.']",2003-05-14,
Alphabetti Theatre,ALPHABETTI THEATRE,CE006183,http://business.data.gov.uk/id/company/CE006183,,,Charitable Incorporated Organisation,Active,['None Supplied'],2016-04-08,
Amble Development Trust,AMBLE DEVELOPMENT TRUST,02990425,http://business.data.gov.uk/id/company/02990425,MORPETH,NE65 0DT,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['96090 - Other service activities n.e.c.'],1994-11-15,
Arcus Studios Ltd,ARCUS STUDIOS LTD,07350999,http://business.data.gov.uk/id/company/07350999,NEWCASTLE UPON TYNE,NE2 1AN,Private Limited Company,Active,"['59111 - Motion picture production activities'
 '59112 - Video production activities']",2010-08-19,
AutismAble CIC,AUTISMABLE CIC,09481285,http://business.data.gov.uk/id/company/09481285,SOUTH SHIELDS,NE33 3PE,Community Interest Company,Active,"['85600 - Educational support services'
 '88100 - Social work activities without accommodation for the elderly and disabled'
 '90040 - Operation of arts facilities'
 '93120 - Activities of sport clubs']",2015-03-10,
BRASH Theatre Company Ltd,BRASH THEATRE COMPANY LTD,12874160,http://business.data.gov.uk/id/company/12874160,NEWCASTLE UPON TYNE,NE6 5NN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90010 - Performing arts'],2020-09-11,
Ballet Lorent Limited,BALLET LORENT LIMITED,05093450,http://business.data.gov.uk/id/company/05093450,NEWCASTLE UPON TYNE,NE15 6TT,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90010 - Performing arts'],2004-04-05,
Baltic Flour Mills Visual Arts Trust,BALTIC FLOUR MILLS VISUAL ARTS TRUST,03589539,http://business.data.gov.uk/id/company/03589539,"SOUTH SHORE ROAD, GATESHEAD",NE8 3BA,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90040 - Operation of arts facilities'],1998-06-29,
Beacon Films CIC,BEACON FILMS CIC,07740648,http://business.data.gov.uk/id/company/07740648,NEWCASTLE UPON TYNE,NE6 1PB,Community Interest Company,Active,['90030 - Artistic creation'],2011-08-15,
Beamish Museum,BEAMISH MUSEUM,05751540,http://business.data.gov.uk/id/company/05751540,BEAMISH,DH9 0RG,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['91020 - Museums activities'],2006-03-22,
Blackhall community association,BLACKHALL COMMUNITY ASSOCIATION,CE011086,http://business.data.gov.uk/id/company/CE011086,,,Charitable Incorporated Organisation,Active,['None Supplied'],2017-06-19,
Blaize,BLAIZE,03594859,http://business.data.gov.uk/id/company/03594859,BARNARD CASTLE,DL12 9LG,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90010 - Performing arts' '90020 - Support activities to performing arts'],1998-07-08,
Blank Studios LLP,BLANK STUDIOS LLP,OC336119,http://business.data.gov.uk/id/company/OC336119,NEWCASTLE UPON TYNE,NE2 1BB,Limited Liability Partnership,Active,['None Supplied'],2008-04-02,
Broadside Creatives CIC,BROADSIDE CREATIVES CIC,12442373,http://business.data.gov.uk/id/company/12442373,SUNDERLAND,SR1 1EE,Community Interest Company,Active,['90030 - Artistic creation' '90040 - Operation of arts facilities'],2020-02-04,
Call Yourself An Artist CIC,CALL YOURSELF AN ARTIST CIC,15155698,http://business.data.gov.uk/id/company/15155698,DURHAM,DH6 5HP,Community Interest Company,Active,['90030 - Artistic creation'],2023-09-22,
Company of Others,COMPANY OF OTHERS,10016228,http://business.data.gov.uk/id/company/10016228,NEWCASTLE UPON TYNE,,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90010 - Performing arts'],2016-02-19,
Creative Spaces North East C.I.C.,CREATIVE SPACES NORTH EAST C.I.C.,11959787,http://business.data.gov.uk/id/company/11959787,NEWCASTLE UPON TYNE,NE3 3QH,Community Interest Company,Active,['90030 - Artistic creation'],2019-04-24,
Curious Monkey Ltd,CURIOUS MONKEY LTD,08550041,http://business.data.gov.uk/id/company/08550041,NEWCASTLE UPON TYNE,NE4 9PQ,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90010 - Performing arts'],2013-05-30,
D6 Culture Ltd,D6 CULTURE LTD,02632544,http://business.data.gov.uk/id/company/02632544,NEWCASTLE UPON TYNE,NE1 4XF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90030 - Artistic creation'],1991-07-25,
EXAUDI,EXAUDI,07134930,http://business.data.gov.uk/id/company/07134930,FERRYHILL,DL17 8RX,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['85520 - Cultural education' '90010 - Performing arts'],2010-01-25,
Elysium Creative Arts CIC,ELYSIUM CREATIVE ARTS CIC,13912578,http://business.data.gov.uk/id/company/13912578,DURHAM,DH1 1JA,Community Interest Company,Active,['90010 - Performing arts'],2022-02-14,
Fertile Ground Dance Ltd,FERTILE GROUND DANCE LTD,10599285,http://business.data.gov.uk/id/company/10599285,NEWCASTLE UPON TYNE,NE1 4BR,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90010 - Performing arts'],2017-02-03,
Frank & Bird Ltd,FRANK & BIRD LTD,08901310,http://business.data.gov.uk/id/company/08901310,NEWCASTLE UPON TYNE,NE6 1SE,Private Limited Company,Active,['56302 - Public houses and bars'],2014-02-19,
Friends of Jesmond Library,FRIENDS OF JESMOND LIBRARY,08430250,http://business.data.gov.uk/id/company/08430250,NEWCASTLE UPON TYNE,NE2 2DL,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['91011 - Library activities'],2013-03-05,
Gateway Studio CIO,GATEWAY STUDIO CIO,CE019859,http://business.data.gov.uk/id/company/CE019859,,,Charitable Incorporated Organisation,Active,['None Supplied'],2019-12-04,
Hand Of Ltd,HAND OF LTD,10156422,http://business.data.gov.uk/id/company/10156422,NEWCASTLE UPON TYNE,NE1 3XP,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,"['85520 - Cultural education'
 '90020 - Support activities to performing arts']",2016-04-29,
Harambee Pasadia CIC,HARAMBEE PASADIA CIC,11309255,http://business.data.gov.uk/id/company/11309255,GATESHEAD,NE8 2PS,Community Interest Company,Active,"['90010 - Performing arts' '90020 - Support activities to performing arts'
 '90030 - Artistic creation' '90040 - Operation of arts facilities']",2018-04-13,
Headway Arts,HEADWAY ARTS,03006904,http://business.data.gov.uk/id/company/03006904,BLYTH,NE24 1BY,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['85590 - Other education n.e.c.'
 '90020 - Support activities to performing arts'
 '90040 - Operation of arts facilities']",1995-01-06,
International Guitar Foundation & Festivals,INTERNATIONAL GUITAR FOUNDATION & FESTIVALS,02932317,http://business.data.gov.uk/id/company/02932317,LONDON,N1 9AG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90030 - Artistic creation'],1994-05-24,
Kielder Observatory Astronomical Society,KIELDER OBSERVATORY ASTRONOMICAL SOCIETY,CE000119,http://business.data.gov.uk/id/company/CE000119,,,Charitable Incorporated Organisation,Active,['None Supplied'],2013-08-29,
Kielder Water & Forest Park Development Trust,KIELDER WATER & FOREST PARK DEVELOPMENT TRUST,07424020,http://business.data.gov.uk/id/company/07424020,DURHAM,DH1 5FJ,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['82990 - Other business support service activities n.e.c.'
 '90030 - Artistic creation'
 '93290 - Other amusement and recreation activities n.e.c.']",2010-10-29,
LVAC Community Interest Company,LVAC COMMUNITY INTEREST COMPANY,14934500,http://business.data.gov.uk/id/company/14934500,DURHAM,DH7 7AG,Community Interest Company,Active,"['85520 - Cultural education' '90030 - Artistic creation'
 '90040 - Operation of arts facilities']",2023-06-14,
Liberdade community development trust,LIBERDADE COMMUNITY DEVELOPMENT TRUST,06548122,http://business.data.gov.uk/id/company/06548122,NEWCASTLE UPON TYNE,NE3 3HD,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90010 - Performing arts'],2008-03-28,
Life and Limb Puppets CIC,LIFE AND LIMB PUPPETS CIC,09172503,http://business.data.gov.uk/id/company/09172503,GATESHEAD,NE8 2XD,Community Interest Company,Active,['90010 - Performing arts'],2014-08-12,
Little Inventors Worldwide Ltd,LITTLE INVENTORS WORLDWIDE LTD,10433685,http://business.data.gov.uk/id/company/10433685,CHESTER LE STREET,DH3 2PA,Private Limited Company,Active,"['82990 - Other business support service activities n.e.c.'
 '85590 - Other education n.e.c.']",2016-10-18,
Mad Alice Theatre Company,MAD ALICE THEATRE COMPANY,05946820,http://business.data.gov.uk/id/company/05946820,COUNTY DURHAM,DH8 5SU,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,['90030 - Artistic creation'],2006-09-26,
Middleton-in-Teesdale Sports and Social Club,MIDDLETON-IN-TEESDALE SPORTS AND SOCIAL CLUB,RS000189,http://business.data.gov.uk/id/company/RS000189,,,Registered Society,Active,['None Supplied'],1900-01-01,
Monkfish Productions CIO,MONKFISH PRODUCTIONS CIO,CE020029,http://business.data.gov.uk/id/company/CE020029,,,Charitable Incorporated Organisation,Active,['None Supplied'],2019-12-17,
Mortal Fools,MORTAL FOOLS,08102487,http://business.data.gov.uk/id/company/08102487,ASHINGTON,NE63 9XQ,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,"['85520 - Cultural education' '85590 - Other education n.e.c.'
 '90010 - Performing arts']",2012-06-12,
Moving Parts Arts CIO,MOVING PARTS ARTS CIO,CE026125,http://business.data.gov.uk/id/company/CE026125,,,Charitable Incorporated Organisation,Active,['None Supplied'],2021-04-19,
NTC Touring Theatre Company Ltd,NTC TOURING THEATRE COMPANY LTD,01448366,http://business.data.gov.uk/id/company/01448366,MORPETH,NE65 0DX,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['90010 - Performing arts'],1979-09-13,
National Youth Choirs of Great Britain,NATIONAL YOUTH CHOIRS OF GREAT BRITAIN,01850803,http://business.data.gov.uk/id/company/01850803,DURHAM,DH7 9RH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,['85520 - Cultural education' '90010 - Performing arts'],1984-09-25,
New Prospects Association Limited,NEW PROSPECTS ASSOCIATION LIMITED,RS027248,http://business.data.gov.uk/id/company/RS027248,,,Registered Society,Active,['None Supplied'],1900-01-01,
