"DATE","GEOGRAPHY_CODE","GENDER_NAME","AGE_NAME","MEASURE_NAME","OBS_VALUE","OBS_STATUS","OBS_CONF"
"2007-12","E08000021","Total","All categories: Age 16+","Claimant count",5365,"A","F"
"2007-12","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",2.9,"A","F"
"2007-12","E08000021","Total","Age unknown (clerical claims)","Claimant count",20,"A","F"
"2007-12","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2007-12","E08000021","Total","Aged 16-24","Claimant count",1650,"A","F"
"2007-12","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2007-12","E08000021","Total","Aged 25-49","Claimant count",2895,"A","F"
"2007-12","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2007-12","E08000021","Total","Aged 50+","Claimant count",800,"A","F"
"2007-12","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-01","E08000021","Total","All categories: Age 16+","Claimant count",5770,"A","F"
"2008-01","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.1,"A","F"
"2008-01","E08000021","Total","Age unknown (clerical claims)","Claimant count",25,"A","F"
"2008-01","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-01","E08000021","Total","Aged 16-24","Claimant count",1795,"A","F"
"2008-01","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-01","E08000021","Total","Aged 25-49","Claimant count",3085,"A","F"
"2008-01","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-01","E08000021","Total","Aged 50+","Claimant count",865,"A","F"
"2008-01","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-02","E08000021","Total","All categories: Age 16+","Claimant count",5910,"A","F"
"2008-02","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.2,"A","F"
"2008-02","E08000021","Total","Age unknown (clerical claims)","Claimant count",25,"A","F"
"2008-02","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-02","E08000021","Total","Aged 16-24","Claimant count",1985,"A","F"
"2008-02","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-02","E08000021","Total","Aged 25-49","Claimant count",3070,"A","F"
"2008-02","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-02","E08000021","Total","Aged 50+","Claimant count",835,"A","F"
"2008-02","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-03","E08000021","Total","All categories: Age 16+","Claimant count",5760,"A","F"
"2008-03","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.1,"A","F"
"2008-03","E08000021","Total","Age unknown (clerical claims)","Claimant count",20,"A","F"
"2008-03","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-03","E08000021","Total","Aged 16-24","Claimant count",1910,"A","F"
"2008-03","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-03","E08000021","Total","Aged 25-49","Claimant count",3015,"A","F"
"2008-03","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-03","E08000021","Total","Aged 50+","Claimant count",815,"A","F"
"2008-03","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-04","E08000021","Total","All categories: Age 16+","Claimant count",5740,"A","F"
"2008-04","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.1,"A","F"
"2008-04","E08000021","Total","Age unknown (clerical claims)","Claimant count",15,"A","F"
"2008-04","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-04","E08000021","Total","Aged 16-24","Claimant count",1870,"A","F"
"2008-04","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-04","E08000021","Total","Aged 25-49","Claimant count",3035,"A","F"
"2008-04","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-04","E08000021","Total","Aged 50+","Claimant count",820,"A","F"
"2008-04","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-05","E08000021","Total","All categories: Age 16+","Claimant count",5680,"A","F"
"2008-05","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.1,"A","F"
"2008-05","E08000021","Total","Age unknown (clerical claims)","Claimant count",20,"A","F"
"2008-05","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-05","E08000021","Total","Aged 16-24","Claimant count",1810,"A","F"
"2008-05","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-05","E08000021","Total","Aged 25-49","Claimant count",3015,"A","F"
"2008-05","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-05","E08000021","Total","Aged 50+","Claimant count",835,"A","F"
"2008-05","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-06","E08000021","Total","All categories: Age 16+","Claimant count",5675,"A","F"
"2008-06","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.1,"A","F"
"2008-06","E08000021","Total","Age unknown (clerical claims)","Claimant count",25,"A","F"
"2008-06","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-06","E08000021","Total","Aged 16-24","Claimant count",1795,"A","F"
"2008-06","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-06","E08000021","Total","Aged 25-49","Claimant count",3030,"A","F"
"2008-06","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-06","E08000021","Total","Aged 50+","Claimant count",825,"A","F"
"2008-06","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-07","E08000021","Total","All categories: Age 16+","Claimant count",5815,"A","F"
"2008-07","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.1,"A","F"
"2008-07","E08000021","Total","Age unknown (clerical claims)","Claimant count",20,"A","F"
"2008-07","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-07","E08000021","Total","Aged 16-24","Claimant count",1830,"A","F"
"2008-07","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-07","E08000021","Total","Aged 25-49","Claimant count",3125,"A","F"
"2008-07","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-07","E08000021","Total","Aged 50+","Claimant count",835,"A","F"
"2008-07","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-08","E08000021","Total","All categories: Age 16+","Claimant count",6075,"A","F"
"2008-08","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.3,"A","F"
"2008-08","E08000021","Total","Age unknown (clerical claims)","Claimant count",20,"A","F"
"2008-08","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-08","E08000021","Total","Aged 16-24","Claimant count",1950,"A","F"
"2008-08","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-08","E08000021","Total","Aged 25-49","Claimant count",3275,"A","F"
"2008-08","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-08","E08000021","Total","Aged 50+","Claimant count",830,"A","F"
"2008-08","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-09","E08000021","Total","All categories: Age 16+","Claimant count",6285,"A","F"
"2008-09","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.4,"A","F"
"2008-09","E08000021","Total","Age unknown (clerical claims)","Claimant count",30,"A","F"
"2008-09","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-09","E08000021","Total","Aged 16-24","Claimant count",2035,"A","F"
"2008-09","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-09","E08000021","Total","Aged 25-49","Claimant count",3360,"A","F"
"2008-09","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-09","E08000021","Total","Aged 50+","Claimant count",865,"A","F"
"2008-09","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-10","E08000021","Total","All categories: Age 16+","Claimant count",6440,"A","F"
"2008-10","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.5,"A","F"
"2008-10","E08000021","Total","Age unknown (clerical claims)","Claimant count",20,"A","F"
"2008-10","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-10","E08000021","Total","Aged 16-24","Claimant count",2040,"A","F"
"2008-10","E08000021","Total","Aged 16-24","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-10","E08000021","Total","Aged 25-49","Claimant count",3445,"A","F"
"2008-10","E08000021","Total","Aged 25-49","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-10","E08000021","Total","Aged 50+","Claimant count",935,"A","F"
"2008-10","E08000021","Total","Aged 50+","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-11","E08000021","Total","All categories: Age 16+","Claimant count",6755,"A","F"
"2008-11","E08000021","Total","All categories: Age 16+","Claimants as a proportion of residents aged 16-64",3.6,"A","F"
"2008-11","E08000021","Total","Age unknown (clerical claims)","Claimant count",20,"A","F"
"2008-11","E08000021","Total","Age unknown (clerical claims)","Claimants as a proportion of residents aged 16-64",,"Q","F"
"2008-11","E08000021","Total","Aged 16-24","Claimant count",2130,"A","F"
