recipient,company_number,total_grants,funding
16+ Team Newcastle Council,,51,23790
1st Brunton Park Guides,,1,500
1st Tyne Sea Scouts,,1,1400.75
30th Newcastle Rainbows,,1,595
30th Newcastle Rangers,,1,2813.3500000000004
3D BIO-TISSUES LIMITED,11666403,1,89429.9
5 FUSILIERS,,1,6000
61st Newcastle (St Francis) Scout Group,,1,500
82nd Newcastle Scout Group,,1,1243.28
8th Newcastle Girls Brigade,,1,1500
93rd Newcastle Scout Group,,1,10000
A KHAN RESTAURANTS,8132730,1,331033.22
A KHAN RESTAURANTS LIMITED,10753801,1,-3000
A KHAN RESTAURANTS LIMMITED,8132730,1,46400.23
A KHAN RESTAURANTS LTD#NE17DF#KICKSTART,5001704,1,33000
A Living Tradition CIC,7637640,1,2000
A Time 2 Talk,10516057,1,5000
A.R.M Electrical Services Ltd,5759218,1,1000
ACTION FOUNDATION,6946097,1,30000
ADRIZE LTD,13870907,1,7059.5
ADVANCED BUILDING TECHNOLOGY,,1,1400
AELIUS BIOTECH LIMITED,11535653,1,46244.02
AF&V Launchpad,8633047,1,5000
AL - RAZA ISLAMIC EDUCATIONAL AND WELFARE TRUST,,1,10000
ALCYOMICS LIMITED,6102853,5,759026.69
ALPHABETTI THEATRE,CE006183,1,60000.0
AMBERSIDE TRUST,,1,35000
ANGELBOND LIMITED,1781028,1,5995.8
ART HEALTH SOLUTIONS LTD,11211432,1,28272.34
ARTS PSYCHOTHERAPIES UK COMMUNITY INTEREST COMPANY,11249783,1,6804
AUTO ASSIST NE,12076909,1,3521.5
AUTO ASSIST NE LIMMITED,12076909,1,4340.84
AWESOMETISTIC CIC,11598169,1,9650
Action For Children,4764232,1,5000
Action For Children,,1,3000
Action Foundation,1132051,1,25000
Action Foundation,6946097,29,467551
Action Foundation,,11,236915
Action Foundation (lead organisation in consortium),,1,5708
Active Strokes North East,CE003576,1,2000
African Community Advice North East,,3,24600
Albert Kennedy Trust,,2,11000
Alphabetti Theatre,1166449,2,183000
Alphabetti Theatre,,5,48030
Alphabetti Theatre,CE006183,3,46000
Altitude Foundation,,1,16874
Amber Film & Photography Collective,7218282,5,912394
AmberSide Trust,,6,101480
Amberside Trust,,2,5500
Angelou Centre,2855091,1,92925
Anglican International Development (AID),,2,5000
Angling 4 All,,1,9700
Anti-radicalization Mentoring and Awareness Network (AMAN),,1,10000
Ape Team Limited,10905375,1,103000
Arcadea,,5,49999
At Sisters,,1,1000
Azalea Academy Community Interest Company,12282367,1,9400
B SKILL LTD,3939817,2,613413.3400000001
BEECH HILL PRIMARY SCHOOL,,4,32030
BENFIELD SCHOOL,,3,176096.81
BEST Initiatives,,1,5000
BIM ACADEMY (ENTERPRISES) LIMITED,7897382,2,157230
BISHOP BEWICK CATHOLIC EDUCATION TRUST,,2,41500
BISHOPS COURT SOCIAL FUND,,1,8710
BL Training Ltd,3674422,2,497287.83999999997
BLUE BELL HOTEL & GOLF CLUB,10523563,1,27731.44
BLUE BELL HOTEL & GOLF CLUB LIMMITED,10523563,1,12887.01
BONELLO AUTO SERVICES,4724209,1,7146.96
BORN DIGITAL HEALTH LTD,11783855,1,74683
BOSNIAN GENOCIDE EDUCATIONAL TRUST,,1,30000
BRIGHT RED,,1,9500
Ballet Lorent,5093450,1,90000
Ballet Lorent Ltd,,1,10000
Bangladesh Overseas Ladies Organisation (BOLO),,1,7992
Beacon Films CIC,28225,1,17000
Beacon Films CIC,7740648,5,230252.5
Beacon Films CIC,,1,37000
Beacon Films CIC (formerly Beacon Hill Arts),7740648,2,11625
Beamish Football Club,,1,1859.65
Benfield Bowling Club,,2,1450
Benfield School - NEAT,,6,158666
Benfield Walking Football,,1,8050
Benfield Walking Football Club,,1,11850
Benson And Lola ltd,10679982,1,2000
Benwell & Walbottle Cricket Club,,1,350
Benwell Christian Shop Project,2349218,3,23324
Benwell Christian Shop Project (Cornerstone),2349218,8,29274
Benwell Hill Cricket Club,10085696,1,0
Benwell Victoria Amateur Boxing Club,,1,2914
Benwell and Walbottle Cricket Club,,1,1273
Better Days,,13,174305.18
Bishop Bewick Catholic Education Trust,7841435,4,2200
Bishop Bewick Catholic Education Trust,,1,1500
Black Ethnic Skills & Training Initiatives,,2,18750
Blakelaw Juniors Football Club,,1,500
Blue Sky Trust,,22,165319
Boho Arts Limited,13709751,1,9778
Brainbox,,1,10000
Breeze Creatives,9040279,1,75084
Breeze Creatives Community Interest Company,9040279,1,8816
Bridgewater School,,2,1000
Bright Future,,4,49942
Bright Red,11386486,3,12000
Bright Red Charity,11386486,1,500
British Association of Critical Care Nurses (BACCN),,1,10000
British Liver Trust,2227706,1,465098
British Liver Trust,,1,5750
Broadwood Primary School,,1,500
Brundibar Arts Festival,9619920,1,5000
Brunton Park Scout Group,,1,500
Building Futures East,1125555,1,30000
Building Futures East,6261491,10,116401
Building Futures East,,3,14500
Building Futures East Limited,6261491,4,55895
Building Self-belief CIO,,1,1500
CAFE (Church Action for Families in Easington),,1,1000
CAPITAL 4 TRANING LTD,8215950,2,250775.38
CARING HANDS,,1,8260
CAROUSEL BUSES LIMITED,4062073,1,0
CASTRIAN GROUP LIMMITED,11865036,1,2088.56
CHERRY COCO COMPANY,10621149,1,7564.5
CHESTNUT NATURAL CAPITAL LTD,12249105,2,135117.9
CHEVIOT PRIMARY SCHOOL,,3,759494
CHILDREN - NORTH EAST,90288,1,51226
CHILDREN NORTH EAST,90288,1,2500
CHUF,,1,10000
CHURCH OF ENGLAND CHILDRENS SOCIETY (G),,1,251380.3
CISV International Limited,,1,3000
CITIZENS ADVICE NEWCASTLE,2114435,2,40000
CITY OF NEWCASTLE GYMNASTICS ACADEMY LIMITED,4294585,1,50000
CO-WHEELS CAR CLUB COMMUNITY INTEREST COMPANY,6512325,2,7791.09
COBALT TOO C.I.C.,8966471,1,47000
COCO,,1,5500
COHOUSING UPON TYNE LIMITED,11548666,1,12000
CONNECTED ENERGY LTD,7289730,1,593839.5
CORNERSTONE BENWELL,13200993,2,5918.860000000001
CRICKETQUBE LIMITED,12621355,2,56930
CROSSINGS COMMUNITY GROUP,,1,3086
CSA (SERVICES),5055685,1,81361.86
CSA (SERVICES) LIMMITED,,1,7415.05
CSA (Services) Ltd,5055685,2,861534.9299999999
CURIOUS MONKEY LTD,8550041,1,31500
Canning Street Primary School,,1,500
Cap-A-Pie Engagements,8938843,2,19991
Cap-a-Pie,8938843,3,217898
Cap-a-Pie,,1,5496
Cap-a-Pie Engagements,8938843,10,95646
Cap-a-Pie Engagements,,1,5000
Caring Hands,,9,46772
Caring Hands CIO,,1,14000
Caring Hands Charity,,1,15000
Carlton Chapel Kids Club,,1,500
Central Walker CofE Primary School,,2,101157
Centre West (Newcastle),4357221,1,8280
Centre West (Newcastle),6028027,1,10000
Centre West (Newcastle) Ltd,4357221,8,50553
Changing Lives,995799,10,49500
Changing Lives,995800,1,10000
Changing Lives,995801,1,2000
Cheviot Primary School,,1,145258
Child Brain Injury Trust,5738517,2,18754
Childens Activities Association CIC,9316784,1,9904
Children In Hope,,1,7340
Children North East,90288,45,1132812.37
Children North East,,7,156262.71
Children and Young Peoples' Network (NE) CIC,9961797,1,10000
Children in Care- Care Leaver Team (Newcastle),,66,37238
Children's Activities Association CIC,9316784,1,9828
Children's Foundation (The),,2,20000
"Children's Foundation, The",,1,5000
Children's Heart Unit Fund,,1,7688
