registered_name,company_number,postcode,sic_code,lat,long
PEOPLE'S THEATRE ARTS GROUP LIMITED,00242886,NE6 5QF,"['90010 - Performing arts', '90030 - Artistic creation']",54.990445,-1.584953
INSTITUTE OF AMATEUR CINEMATOGRAPHERS LIMITED(THE),00269085,NE3 2DT,"['63990 - Other information service activities n.e.c.', '90030 - Artistic creation', '94990 - Activities of other membership organizations n.e.c.']",55.023848,-1.620913
NEWCASTLE PEOPLE'S THEATRE ARTS TRUST LIMITED,00393739,NE6 5QF,['90040 - Operation of arts facilities'],54.990445,-1.584953
MAWSON & WAREHAM (MUSIC) LIMITED,00957980,NE1 5BP,"['58190 - Other publishing activities', '59112 - Video production activities', '59200 - Sound recording and music publishing activities']",54.973132,-1.613142
TYNESIDE CINEMA,01113101,NE1 6QG,['59140 - Motion picture projection activities'],54.973801,-1.611761
NEWCASTLE THEATRE ROYAL TRUST LIMITED,01217427,NE1 6BR,"['90020 - Support activities to performing arts', '90040 - Operation of arts facilities']",54.972706,-1.612021
JAZZ NORTH-EAST LIMITED,01357300,NE7 7AN,['90020 - Support activities to performing arts'],54.998678,-1.59331
TYNE AND WEAR BUILDING PRESERVATION TRUST LIMITED,01444058,NE3 3LS,['91030 - Operation of historical sites and buildings and similar visitor attractions'],55.010031,-1.622138
AN:ARTISTS INFORMATION COMPANY,01626331,NE1 1EW,['58190 - Other publishing activities'],54.97181,-1.612827
AWAY WITH THE FOG LIMITED,01645465,NE1 2PQ,['90030 - Artistic creation'],54.974814,-1.592361
NORTH EAST THEATRE TRUST LIMITED,01697756,NE1 3DQ,"['90030 - Artistic creation', '90040 - Operation of arts facilities']",54.96966,-1.604285
KENSINGTON WEST PRODUCTIONS LIMITED,01844574,NE1 1RJ,['58110 - Book publishing'],54.969652,-1.612301
LIVE THEATRE CO. LIMITED,01981484,NE1 3DQ,['90030 - Artistic creation'],54.96966,-1.604285
EQUAL ARTS LTD.,01992359,NE1 8AX,['90040 - Operation of arts facilities'],54.974992,-1.610437
A M C D (PUBLISHERS) LIMITED,02049025,NE3 4XE,['58110 - Book publishing'],55.000977,-1.63526
NORTHERN STAGE (THEATRICAL PRODUCTIONS) LIMITED,02187213,NE1 7RH,"['90010 - Performing arts', '90040 - Operation of arts facilities']",54.979335,-1.614082
ALPHA COMMUNICATION LIMITED,02187790,NE4 5TF,"['58142 - Publishing of  consumer and business journals and periodicals', '59112 - Video production activities', '70210 - Public relations and communications activities', '73110 - Advertising agencies']",54.972382,-1.623428
NEWCASTLE ARTS CENTRE TRUST LIMITED,02383592,NE1 1SG,['90040 - Operation of arts facilities'],54.970002,-1.617999
DANCE NORTH,02490618,NE1 4BR,['90040 - Operation of arts facilities'],54.970186,-1.622246
D6 CULTURE LTD,02632544,NE1 4XF,['90030 - Artistic creation'],54.971291,-1.619905
FIRST ACT THEATRE,02742066,NE13 9AR,"['90010 - Performing arts', '90030 - Artistic creation']",55.02368,-1.655091
BRUVVERS THEATRE COMPANY,02837215,NE1 2PQ,['90010 - Performing arts'],54.974814,-1.592361
TYNESIDE IRISH CULTURAL SOCIETY LIMITED,02892258,NE1 4SG,['90030 - Artistic creation'],54.973938,-1.618133
NORTHERN PRINT STUDIO LIMITED,02899117,NE1 2NP,"['18129 - Printing n.e.c.', '90040 - Operation of arts facilities']",54.974867,-1.594657
BOULEVARD MEDIA LIMITED,02933813,NE3 3HR,['90030 - Artistic creation'],55.012664,-1.634169
LOCUS +,02939638,NE1 5UD,['90020 - Support activities to performing arts'],54.971137,-1.618832
NORTH EAST MUSIC CO-OPERATIVE LIMITED,03079979,NE3 2DT,"['85520 - Cultural education', '85590 - Other education n.e.c.']",55.023848,-1.620913
LIVE TRADING LIMITED,03100229,NE1 3DQ,['90040 - Operation of arts facilities'],54.96966,-1.604285
VINE SOLUTIONS LIMITED,03131148,NE5 1NB,"['59200 - Sound recording and music publishing activities', '62012 - Business and domestic software development', '62020 - Information technology consultancy activities', '90030 - Artistic creation']",55.00311,-1.695524
NEW WRITING NORTH,03166037,NE1 8ST,['90020 - Support activities to performing arts'],54.976634,-1.60745
"SEVEN STORIES, THE NATIONAL CENTRE FOR CHILDREN’S BOOKS LIMITED",03209411,NE1 2PQ,"['85520 - Cultural education', '91012 - Archives activities', '91020 - Museums activities']",54.974814,-1.592361
INTERNATIONAL CENTRE FOR LIFE TRUST,03225820,NE1 4EP,"['74909 - Other professional, scientific and technical activities n.e.c.', '85590 - Other education n.e.c.', '91030 - Operation of historical sites and buildings and similar visitor attractions']",54.967662,-1.620548
NORTH NEWS & PICTURES LIMITED,03263624,NE6 1TZ,"['59112 - Video production activities', '63910 - News agency activities']",54.96625,-1.573782
JAY TV LIMITED,03368347,NE1 3DX,"['59112 - Video production activities', '74202 - Other specialist photography', '96040 - Physical well-being activities']",54.970984,-1.599307
MSLEXIA PUBLICATIONS LIMITED,03374941,NE1 4JE,['58190 - Other publishing activities'],54.972816,-1.621424
JANET PLATER MANAGEMENT LIMITED,03417954,NE1 1LF,"['78101 - Motion picture, television and other theatrical casting activities']",54.969796,-1.610328
NEWCASTLE UPON TYNE CHAMBER MUSIC SOCIETY LIMITED,03433055,NE2 1HE,['90010 - Performing arts'],54.986768,-1.589758
PRIBRO INTERNATIONAL LIMITED,03482236,NE3 3HR,['59111 - Motion picture production activities'],55.012664,-1.634169
NORTHERN ROOTS,03539586,NE1 6BX,['90040 - Operation of arts facilities'],54.972398,-1.611337
YIPP FILMS LIMITED,03549317,NE2 1JR,['90030 - Artistic creation'],54.987872,-1.600045
TRINITY YOUTH ASSOCIATION,03557279,NE3 3LS,"['85510 - Sports and recreation education', '88910 - Child day-care activities', '90030 - Artistic creation']",55.010031,-1.622138
ANKETELL TRAINING LIMITED,03661827,NE3 1UT,['58190 - Other publishing activities'],55.009076,-1.618519
GENERATOR NORTH EAST LIMITED,03670235,NE1 3DE,"['82990 - Other business support service activities n.e.c.', '90020 - Support activities to performing arts']",54.969265,-1.604554
PINBALL FILMS LIMITED,03739500,NE1 4XF,['59111 - Motion picture production activities'],54.971291,-1.619905
TAYLOR FREDERICKS LIMITED,03812484,NE1 1RN,"['70229 - Management consultancy activities other than financial management', '74100 - specialised design activities', '74202 - Other specialist photography', '90030 - Artistic creation']",54.968147,-1.611144
NOSTALGIA STEEL BAND AND CARNIVAL CLUB LIMITED,03816660,NE3 3AT,"['85520 - Cultural education', '90010 - Performing arts']",55.006555,-1.649734
TYNE THEATRE AND OPERA HOUSE PRESERVATION TRUST,03874271,NE1 4AG,"['90020 - Support activities to performing arts', '90040 - Operation of arts facilities', '91012 - Archives activities', '91030 - Operation of historical sites and buildings and similar visitor attractions']",54.970588,-1.621539
THE CRACK LIMITED,03949330,NE6 5PH,['58190 - Other publishing activities'],54.979187,-1.587929
