charity_name,charity_postcode,latitude,longitude,tooltip
ALL FREQUENCIES SOUND COLLECTIVE,NE3 5BJ,55.010366,-1.603293,<strong>All Frequencies Sound Collective</strong><br>Postcode: NE3 5BJ
AMBERSIDE TRUST,NE1 3JE,54.96919,-1.608416,<strong>Amberside Trust</strong><br>Postcode: NE1 3JE
ANGLO ASIAN FRIENDSHIP SOCIETY,NE3 1BH,55.007559,-1.610591,<strong>Anglo Asian Friendship Society</strong><br>Postcode: NE3 1BH
ARCADEA CIO,NE4 7YA,54.962685,-1.647801,<strong>Arcadea Cio</strong><br>Postcode: NE4 7YA
ASIAN ARTISTS NETWORK (AAN),NE3 5NQ,55.028823,-1.625919,<strong>Asian Artists Network (Aan)</strong><br>Postcode: NE3 5NQ
BOHO ARTS LIMITED,NE6 5SP,54.989189,-1.572479,<strong>Boho Arts Limited</strong><br>Postcode: NE6 5SP
CAPPELLA NOVOCASTRIENSIS,NE2 1NR,54.981975,-1.594056,<strong>Cappella Novocastriensis</strong><br>Postcode: NE2 1NR
CHAPEL HOUSE AND DISTRICT COMMUNITY ASSOCIATION,NE5 1EG,54.996493,-1.716394,<strong>Chapel House And District Community Association</strong><br>Postcode: NE5 1EG
CHILLI STUDIOS (NEWCASTLE AND GATESHEAD ARTS STUDIO) LIMITED,NE1 2TQ,54.974455,-1.597163,<strong>Chilli Studios (Newcastle And Gateshead Arts Studio) Limited</strong><br>Postcode: NE1 2TQ
CITY OF NEWCASTLE PIPE BAND,NE15 6BU,54.970334,-1.677414,<strong>City Of Newcastle Pipe Band</strong><br>Postcode: NE15 6BU
DUNSTON SILVER BAND,NE3 2UX,55.017104,-1.672194,<strong>Dunston Silver Band</strong><br>Postcode: NE3 2UX
FELLING MALE VOICE CHOIR,NE3 1TR,55.003326,-1.596608,<strong>Felling Male Voice Choir</strong><br>Postcode: NE3 1TR
FIRST ACT THEATRE,NE13 9AR,55.02368,-1.655091,<strong>First Act Theatre</strong><br>Postcode: NE13 9AR
FIRST STEP NORTH EAST,NE4 8RN,54.973636,-1.64285,<strong>First Step North East</strong><br>Postcode: NE4 8RN
Friends of Ravenswood,NE6 5TU,54.99085,-1.57726,<strong>Friends Of Ravenswood</strong><br>Postcode: NE6 5TU
GOSFORTH GARDEN VILLAGE ASSOCIATION,NE3 5DD,55.013485,-1.609063,<strong>Gosforth Garden Village Association</strong><br>Postcode: NE3 5DD
HARLEKIN STUDIO OPERA,NE15 6RY,54.970703,-1.663808,<strong>Harlekin Studio Opera</strong><br>Postcode: NE15 6RY
JESMOND CHORAL GROUP,NE2 2PL,54.992468,-1.601328,<strong>Jesmond Choral Group</strong><br>Postcode: NE2 2PL
JESMOND COMMUNITY LEISURE,NE2 2DL,54.993462,-1.605726,<strong>Jesmond Community Leisure</strong><br>Postcode: NE2 2DL
JOHN WIGHAM RICHARDSON CHARITY,NE1 4JA,54.969142,-1.624755,<strong>John Wigham Richardson Charity</strong><br>Postcode: NE1 4JA
NATURAL HISTORY SOCIETY OF NORTHUMBRIA,NE2 4PT,54.980501,-1.613134,<strong>Natural History Society Of Northumbria</strong><br>Postcode: NE2 4PT
NEWCASTLE ARTS CENTRE TRUST LTD,NE1 1SG,54.970002,-1.617999,<strong>Newcastle Arts Centre Trust Ltd</strong><br>Postcode: NE1 1SG
NEWCASTLE CHINESE SCHOOL,NE7 7DP,54.993994,-1.588042,<strong>Newcastle Chinese School</strong><br>Postcode: NE7 7DP
NEWCASTLE CHORAL SOCIETY,NE3 2HB,55.012517,-1.668228,<strong>Newcastle Choral Society</strong><br>Postcode: NE3 2HB
NEWCASTLE PEOPLE'S THEATRE ARTS TRUST LIMITED,NE6 5RD,54.990946,-1.581572,<strong>Newcastle People'S Theatre Arts Trust Limited</strong><br>Postcode: NE6 5RD
NEWCASTLE THEATRE ROYAL TRUST LIMITED,NE1 6BR,54.972706,-1.612021,<strong>Newcastle Theatre Royal Trust Limited</strong><br>Postcode: NE1 6BR
NEWCASTLE UPON TYNE CHAMBER MUSIC SOCIETY LIMITED,NE4 6UX,54.970379,-1.644488,<strong>Newcastle Upon Tyne Chamber Music Society Limited</strong><br>Postcode: NE4 6UX
